player,min,VORP,id,opp_id,season_id,win,year,adj_VORP,avg_VORP,link
leeco01,41.21666666666667,-0.7,200904190ORL-ORL,200904190ORL-PHI,ORL-2009,0,2009,-28.851666666666667,54.68683333333334,leeco01-2009
howardw01,38.06666666666667,15.3,200904190ORL-ORL,200904190ORL-PHI,ORL-2009,0,2009,582.4200000000001,54.68683333333334,howardw01-2009
turkohe01,35.266666666666666,-1.7,200904190ORL-ORL,200904190ORL-PHI,ORL-2009,0,2009,-59.95333333333333,54.68683333333334,turkohe01-2009
alstora01,34.53333333333333,0,200904190ORL-ORL,200904190ORL-PHI,ORL-2009,0,2009,0,54.68683333333334,alstora01-2009
lewisra02,34,1.3,200904190ORL-ORL,200904190ORL-PHI,ORL-2009,0,2009,44.2,54.68683333333334,lewisra02-2009
battito01,14,-1.5,200904190ORL-ORL,200904190ORL-PHI,ORL-2009,0,2009,-21,54.68683333333334,battito01-2009
johnsan02,13.466666666666667,6.3,200904190ORL-ORL,200904190ORL-PHI,ORL-2009,0,2009,84.84,54.68683333333334,johnsan02-2009
pietrmi01,13.233333333333333,-3.1,200904190ORL-ORL,200904190ORL-PHI,ORL-2009,0,2009,-41.02333333333333,54.68683333333334,pietrmi01-2009
gortama01,9.933333333333334,-0.5,200904190ORL-ORL,200904190ORL-PHI,ORL-2009,0,2009,-4.966666666666667,54.68683333333334,gortama01-2009
redicjj01,6.283333333333333,-1.4,200904190ORL-ORL,200904190ORL-PHI,ORL-2009,0,2009,-8.796666666666665,54.68683333333334,redicjj01-2009
lewisra02,43.03333333333333,5.2,200904220ORL-ORL,200904220ORL-PHI,ORL-2009,1,2009,223.77333333333334,91.2538888888889,lewisra02-2009
turkohe01,40.083333333333336,3.3,200904220ORL-ORL,200904220ORL-PHI,ORL-2009,1,2009,132.275,91.2538888888889,turkohe01-2009
leeco01,37.28333333333333,10.4,200904220ORL-ORL,200904220ORL-PHI,ORL-2009,1,2009,387.74666666666667,91.2538888888889,leeco01-2009
howardw01,30.333333333333332,4.8,200904220ORL-ORL,200904220ORL-PHI,ORL-2009,1,2009,145.6,91.2538888888889,howardw01-2009
johnsan02,25.983333333333334,-3.3,200904220ORL-ORL,200904220ORL-PHI,ORL-2009,1,2009,-85.745,91.2538888888889,johnsan02-2009
alstora01,22.016666666666666,1.9,200904220ORL-ORL,200904220ORL-PHI,ORL-2009,1,2009,41.83166666666666,91.2538888888889,alstora01-2009
pietrmi01,18.633333333333333,-1.5,200904220ORL-ORL,200904220ORL-PHI,ORL-2009,1,2009,-27.95,91.2538888888889,pietrmi01-2009
gortama01,17.666666666666668,0.1,200904220ORL-ORL,200904220ORL-PHI,ORL-2009,1,2009,1.7666666666666668,91.2538888888889,gortama01-2009
battito01,4.966666666666667,0.4,200904220ORL-ORL,200904220ORL-PHI,ORL-2009,1,2009,1.9866666666666668,91.2538888888889,battito01-2009
millean02,45.61666666666667,2.4,200904240PHI-PHI,200904240PHI-ORL,PHI-2009,1,2009,109.48,60.778166666666664,millean02-2009
